"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","529","PROJ-106 | should show error when password is empty","chromium","Sat Feb 21 08:37:18 UTC 2026","passed","Sat Feb 21 08:37:18 UTC 2026","Login Page","auth/login.spec.ts","",""
"","37","PROJ-505 | GET /posts?userId=1 - should filter posts by user","chromium","Sat Feb 21 08:37:14 UTC 2026","passed","Sat Feb 21 08:37:14 UTC 2026","JSONPlaceholder API","api/users.spec.ts","",""
"","156","PROJ-501 | GET /users - should return list of users","chromium","Sat Feb 21 08:37:14 UTC 2026","passed","Sat Feb 21 08:37:14 UTC 2026","JSONPlaceholder API","api/users.spec.ts","",""
"","692","PROJ-206 | should sort products by name A-Z","chromium","Sat Feb 21 08:37:26 UTC 2026","passed","Sat Feb 21 08:37:26 UTC 2026","Inventory Page","inventory/inventory.spec.ts","",""
"","775","PROJ-215 | should navigate back to products","chromium","Sat Feb 21 08:37:29 UTC 2026","passed","Sat Feb 21 08:37:30 UTC 2026","Product Detail Page","inventory/product-detail.spec.ts","",""
"","657","PROJ-203 | should display header with logo and cart","chromium","Sat Feb 21 08:37:24 UTC 2026","passed","Sat Feb 21 08:37:25 UTC 2026","Inventory Page","inventory/inventory.spec.ts","",""
"","43","PROJ-508 | DELETE /posts/:id - should delete a post","chromium","Sat Feb 21 08:37:14 UTC 2026","passed","Sat Feb 21 08:37:14 UTC 2026","JSONPlaceholder API","api/users.spec.ts","",""
"","932","PROJ-405 | should show error for empty last name","chromium","Sat Feb 21 08:37:23 UTC 2026","passed","Sat Feb 21 08:37:24 UTC 2026","Checkout Flow","checkout/checkout.spec.ts","",""
"","728","PROJ-207 | should sort products by name Z-A","chromium","Sat Feb 21 08:37:26 UTC 2026","passed","Sat Feb 21 08:37:27 UTC 2026","Inventory Page","inventory/inventory.spec.ts","",""
"","32","PROJ-503 | GET /users/:id - should return a single user","chromium","Sat Feb 21 08:37:14 UTC 2026","passed","Sat Feb 21 08:37:14 UTC 2026","JSONPlaceholder API","api/users.spec.ts","",""
"","735","PROJ-209 | should sort products by price high to low","chromium","Sat Feb 21 08:37:27 UTC 2026","passed","Sat Feb 21 08:37:27 UTC 2026","Inventory Page","inventory/inventory.spec.ts","",""
"","872","PROJ-306 | should update cart badge after removal","chromium","Sat Feb 21 08:37:20 UTC 2026","passed","Sat Feb 21 08:37:21 UTC 2026","Cart Page","cart/cart.spec.ts","",""
"","788","PROJ-205 | should remove product from cart on inventory page","chromium","Sat Feb 21 08:37:25 UTC 2026","passed","Sat Feb 21 08:37:26 UTC 2026","Inventory Page","inventory/inventory.spec.ts","",""
"","97","PROJ-506 | PUT /posts/:id - should update a post","chromium","Sat Feb 21 08:37:14 UTC 2026","passed","Sat Feb 21 08:37:14 UTC 2026","JSONPlaceholder API","api/users.spec.ts","",""
"","182","PROJ-502 | POST /posts - should create a new post","chromium","Sat Feb 21 08:37:14 UTC 2026","passed","Sat Feb 21 08:37:14 UTC 2026","JSONPlaceholder API","api/users.spec.ts","",""
